GPIO Pin,Pad Mode,Host Soft Owner,Direction,Output State,Interrupt Configuration,Reset Configuration,Electrical Configuration,Lock Status
GPP_H20,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H21,Gpio,Gpio,In,Default,Default,Platform Reset,None,Unlock
GPP_H22,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_H23,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_I0,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_I3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_I4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_I9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_I10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_I11,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_I12,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_I13,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_I14,Native1,Default,Default,Default,Default,Host Deep Reset,None,
GPP_J0,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_J1,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_J2,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_J3,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_J4,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_J5,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_J8,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_J9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K0,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K2,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K3,Gpio,Gpio,Out,High,Default,Platform Reset,None,Unlock
GPP_K4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K5,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K8,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_K9,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_K10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_K11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R0,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_R1,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_R2,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_R3,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_R4,Native1,Default,Default,Default,Default,Platform Reset,None,
GPP_R5,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R6,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R8,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R9,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R10,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R11,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R12,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R13,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_R14,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_R15,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_R16,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_R17,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_R18,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_R19,Gpio,Gpio,In,Default,Default,Platform Reset,None,
GPP_S0,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S2,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S3,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S4,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S5,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S6,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPP_S7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPD0,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD1,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPD2,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD3,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD4,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD5,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD6,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD7,Gpio,Gpio,Out,High,Default,Platform Reset,None,
GPD8,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD9,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD10,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD11,Native1,Default,Default,Default,Default,Platform Reset,None,
GPD12,Gpio,Gpio,Out,High,Default,Platform Reset,None,
